0	2654141
1	39528565
2	6319129
3	28740830
4	18814278
5	27979907
6	6323468
7	6193525
8	35602934
9	28413119
10	2540175
11	16997877
12	17246136
13	20689723
14	9207077
15	2483373
16	26956526
17	18836996
18	2515990
19	1054507
20	8202365
21	6277507
22	12805953
23	14709810
24	10097088
25	11598108
26	17612411
27	38171001
28	3476940
29	1577856
30	19743471
31	37449547
32	32681023
33	2345155
34	18824791
35	28855377
36	34215778
37	3542960
38	7066989
39	23464372
40	16009554
41	35942874
42	1718941
43	6447709
44	17761194
45	20647113
46	18375618
47	17984318
48	11162580
49	38500564
50	37003737
51	6366511
52	26851071
53	20066077
54	22367211
55	26975620
56	33926115
57	35727136
58	12597118
59	33869225
60	571432
61	37074945
62	6427234
63	24710484
64	34276708
65	30836895
66	38525485
67	177982
68	12499634
69	7669763
70	11171104
71	27586009
72	39699947
73	29350155
74	15679834
75	9351835
76	26498790
77	28719054
78	2989792
79	9307972
80	24128258
81	23931305
82	27009206
83	8192658
84	37427380
85	10974128
86	3028476
87	19597555
88	24970198
89	34360847
90	22933560
91	35686986
92	11352578
93	22192777
94	17298675
95	20235103
96	7575396
97	22073313
98	36472780
99	8432731
100	1321059
101	35661736
102	29238345
103	15701807
104	25729385
105	13932286
106	10408952
107	28232888
108	8842229
109	32399826
110	1691193
111	10864046
112	26383644
113	21963788
114	20349140
115	16511123
116	19519767
117	21933415
118	20174608
119	6764901
120	1986248
121	36549864
122	17699611
123	3380094
124	35493081
125	26166433
126	8029320
127	1380652
128	12737629
129	11224566
130	31218358
131	6186992
132	18840649
133	21187070
134	17150103
135	38805695
136	15170254
137	33136401
138	11571311
139	19403700
140	24297440
141	37047169
142	22899719
143	10198067
144	23339241
145	1319933
146	2608027
147	19706461
148	18590548
149	12861381
150	16672362
151	8764472
152	17851530
153	17545969
154	39101615
155	31536925
156	11159410
157	6149729
158	14731746
159	14572910
160	14575525
161	2581974
162	24470039
163	28217110
164	22726208
165	528973
166	21576256
167	30038850
168	8917511
169	29615071
170	36043949
171	3362676
172	6518518
173	2848725
174	2854028
175	32636946
176	18948289
177	24926300
178	3023835
179	21936790
180	31454965
181	3027050
182	10075837
183	6366798
184	34746396
185	22349699
186	26004537
187	22264729
188	3796597
189	33954944
190	26246819
191	1656203
192	17129685
193	31578554
194	23641003
195	3243034
196	24344187
197	39692814
198	4474880
199	12139770
200	38625397
201	1917971
202	31647412
203	27965956
204	34796704
205	21438970
206	37903140
207	6630293
208	18936099
209	17202315
210	26131624
211	6647035
212	7432514
213	23329689
214	37822944
215	15146078
216	25670086
217	7166215
218	12097910
219	6404931
220	1655402
221	23020233
222	21317337
223	23230293
224	9597007
225	18671868
226	34746129
227	21438914
228	18480848
229	28793794
230	5167809
231	22411823
232	39512784
233	45540
234	7984404
235	21081480
236	12913271
237	27732847
238	34898982
239	37654509
240	19763981
241	32547344
242	28641070
243	28510009
244	8332534
245	9427685
246	25710274
247	27528044
248	32106410
249	21399614
250	19666543
251	6259120
252	28067235
253	23282134
254	3436528
255	22056467
256	27474409
257	22275825
258	19025930
259	23203294
260	15196880
261	18287529
262	2002061
263	19049956
264	16713960
265	38517944
266	25583999
267	3100395
268	8228819
269	22299709
270	16927374
271	28808018
272	18039770
273	40416301
274	21083909
275	28134781
276	16672380
277	22215733
278	28903536
279	33374769
280	31701156
281	1527179
282	33409543
283	37036971
284	8524049
285	10704478
286	23332753
287	34440160
288	15888340
289	34437397
290	17132728
291	11500361
292	38265888
293	34488448
294	25609090
295	20359893
296	20936368
297	25253343
298	12134067
299	39332399
300	7506765
301	4525281
302	30420680
303	21300429
304	30480299
305	291012
306	33445484
307	29057979
308	3897835
309	22574999
310	10899107
311	11851343
312	21071445
313	22927822
314	16453464
315	23943875
316	32098673
317	31160533
318	27562248
319	38014740
320	28346361
321	2431275
322	15296508
323	22412905
324	18086709
325	27373689
326	4156170
327	18812178
328	24548880
329	17981801
330	8760935
331	30251676
332	7110134
333	28892507
334	21585361
335	26057809
336	35247388
337	12482613
338	20407419
339	6874727
340	25250244
341	2049875
342	39860993
343	23298208
344	12482970
345	36635405
346	22007157
347	35830600
348	22125433
349	19893578
350	37758724
351	30232153
352	27694765
353	22329831
354	3018510
355	16757740
356	26539193
357	17586767
358	20547830
359	36857168
360	6968316
361	41230847
362	1644228
363	19513240
364	38515298
365	36527688
366	19763978
367	15632431
368	17227146
369	17765681
370	39211319
371	7503995
372	26660621
